quarter,as_on_date,symbol,company,sector,universe,fii_pct,dii_pct,source,updated_at
2024Q1,31-MAR-2024,PEL,Piramal Enterprises Limited,Financial Services,Midcap,16.97,13.2,https://nsearchives.nseindia.com/corporate/xbrl/SHP_188138_1103649_20042024020818_WEB.xml,2026-06-04T17:27:29+00:00
2024Q2,30-JUN-2024,PEL,Piramal Enterprises Limited,Financial Services,Midcap,16.19,13.35,https://nsearchives.nseindia.com/corporate/xbrl/SHP_190730_1198251_20072024085944_WEB.xml,2026-06-04T17:27:28+00:00
2024Q3,30-SEP-2024,PEL,Piramal Enterprises Limited,Financial Services,Midcap,14.93,14.95,https://nsearchives.nseindia.com/corporate/xbrl/SHP_193616_1284614_22102024020440_WEB.xml,2026-06-04T17:27:27+00:00
2024Q4,31-DEC-2024,ABB,ABB India Limited,Capital Goods,Nifty Next 50,11.85,5.69,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195208_1350134_17012025065810_WEB.xml,2026-05-22T16:49:39+00:00
2024Q4,31-DEC-2024,ABCAPITAL,Aditya Birla Capital Limited,Financial Services,Midcap,9.22,9.52,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195223_1350225_17012025072934_WEB.xml,2026-06-04T17:22:08+00:00
2024Q4,31-DEC-2024,ABFRL,Aditya Birla Fashion and Retail Limited,Retail,Midcap,18.35,14.57,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195354_1351320_19012025120702_WEB.xml,2026-06-04T17:22:14+00:00
2024Q4,31-DEC-2024,ACC,ACC Limited,Cement,Midcap,5.14,24.66,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194528_1344268_13012025065733_WEB.xml,2026-06-04T17:22:19+00:00
2024Q4,31-DEC-2024,ADANIENT,Adani Enterprises Limited,Conglomerate,Nifty 50,11.73,6.61,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194363_1342852_11012025025121_WEB.xml,2026-06-04T18:22:45+00:00
2024Q4,31-DEC-2024,ADANIGREEN,Adani Green Energy Limited,Power,Nifty Next 50,13.68,1.72,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194331_1342582_10012025081643_WEB.xml,2026-05-22T16:49:48+00:00
2024Q4,31-DEC-2024,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Infrastructure,Nifty 50,13.94,14.2,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194296_1342155_10012025050607_WEB.xml,2026-06-04T18:22:50+00:00
2024Q4,31-DEC-2024,ADANIPOWER,Adani Power Limited,Power,Nifty Next 50,12.35,1.61,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194211_1341493_10012025120630_WEB.xml,2026-05-22T16:49:56+00:00
2024Q4,31-DEC-2024,ALKEM,Alkem Laboratories Limited,Pharma,Midcap,10.15,18.01,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194870_1347333_16012025032648_WEB.xml,2026-06-04T17:22:24+00:00
2024Q4,31-DEC-2024,AMBUJACEM,Ambuja Cements Limited,Cement,Nifty Next 50,9.14,16.62,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194390_1343078_11012025083144_WEB.xml,2026-05-22T16:50:04+00:00
2024Q4,31-DEC-2024,APLAPOLLO,APL Apollo Tubes Limited,Metals,Midcap,31.72,16.5,https://nsearchives.nseindia.com/corporate/xbrl/SHP_193875_1337906_06012025032548_WEB.xml,2026-06-04T17:22:30+00:00
2024Q4,31-DEC-2024,APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,Nifty 50,45.27,19.98,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194792_1346804_16012025104509_WEB.xml,2026-06-04T18:22:55+00:00
2024Q4,31-DEC-2024,ASHOKLEY,Ashok Leyland Limited,Auto,Midcap,24.09,13.04,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195163_1349721_17012025053636_WEB.xml,2026-06-04T17:22:35+00:00
2024Q4,31-DEC-2024,ASIANPAINT,Asian Paints Limited,Consumer Goods,Nifty 50,13.61,14.06,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194742_1346213_15012025045153_WEB.xml,2026-06-04T18:23:00+00:00
2024Q4,31-DEC-2024,ASTRAL,Astral Limited,Consumer Durables,Midcap,21.08,13.92,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195424_1351715_20012025120120_WEB.xml,2026-06-04T17:22:40+00:00
2024Q4,31-DEC-2024,ATGL,Adani Total Gas Limited,Oil & Gas,Nifty Next 50,13.06,6.27,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194721_1345979_15012025033244_WEB.xml,2026-05-22T16:50:12+00:00
2024Q4,31-DEC-2024,AUBANK,AU Small Finance Bank Limited,Banking,Midcap,39.35,21.78,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195222_1350221_17012025072706_WEB.xml,2026-06-04T17:22:46+00:00
2024Q4,31-DEC-2024,AUROPHARMA,Aurobindo Pharma Limited,Pharma,Midcap,16.29,25.2,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194478_1343799_13012025043701_WEB.xml,2026-06-04T17:22:51+00:00
2024Q4,31-DEC-2024,AXISBANK,Axis Bank Limited,Banking,Nifty 50,47.32,37.48,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194378_1342990_11012025051049_WEB.xml,2026-06-04T18:23:05+00:00
2024Q4,31-DEC-2024,BAJAJ-AUTO,Bajaj Auto Limited,Auto,Nifty 50,12.45,10.06,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195984_1429350_30042025054528_WEB.xml,2026-06-04T18:23:10+00:00
2024Q4,31-DEC-2024,BAJAJFINSV,Bajaj Finserv Limited,Financial Services,Nifty 50,7.4,8.92,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195516_1352327_20012025032831_WEB.xml,2026-06-04T18:23:20+00:00
2024Q4,31-DEC-2024,BAJAJHLDNG,Bajaj Holdings & Investment Limited,Financial Services,Nifty Next 50,10.65,7.12,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195404_1351608_20012025112853_WEB.xml,2026-05-22T16:50:21+00:00
2024Q4,31-DEC-2024,BAJFINANCE,Bajaj Finance Limited,Financial Services,Nifty 50,20.79,15.17,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194782_1346603_15012025065008_WEB.xml,2026-06-04T18:23:15+00:00
2024Q4,31-DEC-2024,BALKRISIND,Balkrishna Industries Limited,Auto,Midcap,11.28,23.95,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194987_1348449_17012025110845_WEB.xml,2026-06-04T17:22:57+00:00
2024Q4,31-DEC-2024,BANKBARODA,Bank of Baroda,Banking,Nifty Next 50,8.91,18.12,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194143_1340760_09012025040628_WEB.xml,2026-05-22T16:50:29+00:00
2024Q4,31-DEC-2024,BEL,Bharat Electronics Limited,Defence,Nifty Next 50,17.35,20.94,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194971_1348331_17012025092311_WEB.xml,2026-05-22T16:50:37+00:00
2024Q4,31-DEC-2024,BERGEPAINT,Berger Paints (I) Limited,Consumer Goods,Midcap,5.94,9.61,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194890_1347461_16012025040903_WEB.xml,2026-06-04T17:23:02+00:00
2024Q4,31-DEC-2024,BHARATFORG,Bharat Forge Limited,Auto,Midcap,17.88,28.5,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194972_1348337_17012025094754_WEB.xml,2026-06-04T17:23:07+00:00
2024Q4,31-DEC-2024,BHARTIARTL,Bharti Airtel Limited,Telecom,Nifty 50,24.27,19.63,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195089_1349143_17012025033836_WEB.xml,2026-06-04T18:23:30+00:00
2024Q4,31-DEC-2024,BHEL,Bharat Heavy Electricals Limited,Capital Goods,Midcap,7.98,15.49,https://nsearchives.nseindia.com/corporate/xbrl/SHP_193997_1339408_08012025030701_WEB.xml,2026-06-04T17:23:13+00:00
2024Q4,31-DEC-2024,BIOCON,Biocon Limited,Pharma,Midcap,5.66,15.37,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195723_1353792_20012025071832_WEB.xml,2026-06-04T17:23:18+00:00
2024Q4,31-DEC-2024,BOSCHLTD,Bosch Limited,Auto,Nifty Next 50,6.14,15.87,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194945_1347952_16012025061506_WEB.xml,2026-05-22T16:50:45+00:00
2024Q4,31-DEC-2024,BPCL,Bharat Petroleum Corporation Limited,Oil & Gas,Nifty 50,14.71,22.27,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194725_1346022_15012025034927_WEB.xml,2026-06-04T18:23:25+00:00
2024Q4,31-DEC-2024,BRITANNIA,Britannia Industries Limited,FMCG,Nifty 50,16.46,17.58,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195840_1354535_21012025124229_WEB.xml,2026-06-04T18:23:35+00:00
2024Q4,31-DEC-2024,BSE,BSE Limited,Financial Services,Midcap,16.03,12.07,https://nsearchives.nseindia.com/corporate/xbrl/-,2026-06-04T17:23:23+00:00
2024Q4,31-DEC-2024,CAMS,Computer Age Management Services Limited,Financial Services,Midcap,57.63,17.35,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195157_1349651_17012025052118_WEB.xml,2026-06-04T17:23:29+00:00
2024Q4,31-DEC-2024,CANBK,Canara Bank,Banking,Midcap,11.11,11.72,https://nsearchives.nseindia.com/corporate/xbrl/SHP_193846_1337391_03012025080642_WEB.xml,2026-06-04T17:23:34+00:00
2024Q4,31-DEC-2024,CGCL,Capri Global Capital Limited,Financial Services,Midcap,1.04,14.51,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194044_1339743_08012025052639_WEB.xml,2026-06-04T17:23:40+00:00
2024Q4,31-DEC-2024,CGPOWER,CG Power and Industrial Solutions Limited,Capital Goods,Nifty Next 50,14.3,11.91,https://nsearchives.nseindia.com/corporate/xbrl/SHP_196070_1372330_06022025114645_WEB.xml,2026-05-22T16:51:01+00:00
2024Q4,31-DEC-2024,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Financial Services,Nifty Next 50,27.43,16.1,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195800_1354284_21012025113317_WEB.xml,2026-05-22T16:50:53+00:00
2024Q4,31-DEC-2024,CIPLA,Cipla Limited,Pharma,Nifty 50,26.65,27.71,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195757_1353977_20012025085509_WEB.xml,2026-06-04T18:23:40+00:00
2024Q4,31-DEC-2024,COALINDIA,Coal India Limited,Mining,Nifty 50,8.58,22.58,https://nsearchives.nseindia.com/corporate/xbrl/SHP_193961_1339111_08012025112046_WEB.xml,2026-06-03T19:34:31+00:00
2024Q4,31-DEC-2024,COFORGE,Coforge Limited,IT,Midcap,42.55,47.86,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195859_1354669_21012025011551_WEB.xml,2026-06-04T17:23:45+00:00
2024Q4,31-DEC-2024,COLPAL,Colgate Palmolive (India) Limited,FMCG,Midcap,23.72,6.83,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195140_1349548_17012025050326_WEB.xml,2026-06-04T17:23:50+00:00
2024Q4,31-DEC-2024,CONCOR,Container Corporation of India Limited,Logistics,Midcap,13.48,25.7,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194923_1347792_16012025053201_WEB.xml,2026-06-04T17:23:55+00:00
2024Q4,31-DEC-2024,COROMANDEL,Coromandel International Limited,Chemicals,Midcap,8.33,21.02,https://nsearchives.nseindia.com/corporate/xbrl/SHP_196054_1356514_21012025091928_WEB.xml,2026-06-04T17:24:00+00:00
2024Q4,31-DEC-2024,CUMMINSIND,Cummins India Limited,Capital Goods,Midcap,18.1,21.91,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195271_1350748_18012025041600_WEB.xml,2026-06-04T17:24:06+00:00
2024Q4,31-DEC-2024,DABUR,Dabur India Limited,FMCG,Nifty Next 50,13.27,14.92,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195171_1349815_17012025055951_WEB.xml,2026-05-22T16:51:10+00:00
2024Q4,31-DEC-2024,DEEPAKNTR,Deepak Nitrite Limited,Chemicals,Midcap,6.6,23.22,https://nsearchives.nseindia.com/corporate/xbrl/SHP_193964_1339124_08012025112713_WEB.xml,2026-06-04T17:24:11+00:00
2024Q4,31-DEC-2024,DIVISLAB,Divi's Laboratories Limited,Pharma,Nifty 50,17.99,20.54,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195156_1349647_17012025052059_WEB.xml,2026-05-22T16:58:31+00:00
2024Q4,31-DEC-2024,DIXON,Dixon Technologies (India) Limited,Consumer Durables,Midcap,23.22,22.62,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195103_1349252_17012025040503_WEB.xml,2026-06-04T17:24:16+00:00
2024Q4,31-DEC-2024,DLF,DLF Limited,Realty,Nifty Next 50,16.37,4.87,https://nsearchives.nseindia.com/corporate/xbrl/SHP_193889_1338256_06012025073202_WEB.xml,2026-05-22T16:51:18+00:00
2024Q4,31-DEC-2024,DMART,Avenue Supermarts Limited,Retail,Nifty Next 50,8.96,8.14,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195811_1354357_21012025115346_WEB.xml,2026-05-22T16:51:26+00:00
2024Q4,31-DEC-2024,DRREDDY,Dr. Reddy's Laboratories Limited,Pharma,Nifty 50,40.08,22.9,https://nsearchives.nseindia.com/corporate/xbrl/SHP_196056_1356539_21012025101621_WEB.xml,2026-05-22T16:58:39+00:00
2024Q4,31-DEC-2024,EICHERMOT,Eicher Motors Limited,Auto,Nifty 50,25.43,16.19,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195534_1352447_20012025034838_WEB.xml,2026-05-22T16:58:47+00:00
2024Q4,31-DEC-2024,ESCORTS,Escorts Kubota Limited,Capital Goods,Midcap,5.89,10.2,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194309_1342327_10012025060221_WEB.xml,2026-06-04T17:24:21+00:00
2024Q4,31-DEC-2024,EXIDEIND,Exide Industries Limited,Auto,Midcap,11.72,17.65,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194596_1344916_14012025033407_WEB.xml,2026-06-04T17:24:27+00:00
2024Q4,31-DEC-2024,FEDERALBNK,The Federal Bank  Limited,Banking,Midcap,26.32,48.9,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194786_1346628_15012025070324_WEB.xml,2026-06-04T17:24:32+00:00
2024Q4,31-DEC-2024,GAIL,GAIL (India) Limited,Oil & Gas,Nifty Next 50,16.05,17.7,https://nsearchives.nseindia.com/corporate/xbrl/SHP_193913_1338523_07012025022953_WEB.xml,2026-05-22T16:51:34+00:00
2024Q4,31-DEC-2024,GLAND,Gland Pharma Limited,Pharma,Midcap,5.04,34.8,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195649_1353283_20012025055532_WEB.xml,2026-06-04T17:24:37+00:00
2024Q4,31-DEC-2024,GODREJCP,Godrej Consumer Products Limited,FMCG,Nifty Next 50,20.68,11.04,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194779_1346578_15012025064206_WEB.xml,2026-05-22T16:51:43+00:00
2024Q4,31-DEC-2024,GODREJPROP,Godrej Properties Limited,Realty,Midcap,30.85,9.4,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195641_1353225_20012025054731_WEB.xml,2026-06-04T17:24:42+00:00
2024Q4,31-DEC-2024,GRASIM,Grasim Industries Limited,Cement,Nifty 50,15.55,17.9,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195563_1352659_20012025042147_WEB.xml,2026-05-22T16:58:56+00:00
2024Q4,31-DEC-2024,HAL,Hindustan Aeronautics Limited,Defence,Nifty Next 50,12.26,8.15,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194484_1343842_13012025045429_WEB.xml,2026-05-22T16:51:51+00:00
2024Q4,31-DEC-2024,HAVELLS,Havells India Limited,Consumer Durables,Nifty Next 50,23.46,11.56,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195632_1353158_20012025054047_WEB.xml,2026-05-22T16:51:59+00:00
2024Q4,31-DEC-2024,HCLTECH,HCL Technologies Limited,IT,Nifty 50,19.38,15.24,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195956_1355483_21012025050400_WEB.xml,2026-05-22T16:59:04+00:00
2024Q4,31-DEC-2024,HDFCAMC,HDFC Asset Management Company Limited,Financial Services,Midcap,21.32,17.04,https://nsearchives.nseindia.com/corporate/xbrl/SHP_193999_1339428_08012025031644_WEB.xml,2026-06-04T17:24:48+00:00
2024Q4,31-DEC-2024,HDFCBANK,HDFC Bank Limited,Banking,Nifty 50,49.2,34.56,https://nsearchives.nseindia.com/corporate/xbrl/SHP_193840_1337043_03012025125244_WEB.xml,2026-05-22T16:59:12+00:00
2024Q4,31-DEC-2024,HDFCLIFE,HDFC Life Insurance Company Limited,Insurance,Nifty 50,25.14,13.74,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195600_1352929_20012025050134_WEB.xml,2026-05-22T16:59:20+00:00
2024Q4,31-DEC-2024,HEROMOTOCO,Hero MotoCorp Limited,Auto,Nifty 50,27.96,27.72,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194966_1348193_16012025073318_WEB.xml,2026-05-22T16:59:29+00:00
2024Q4,31-DEC-2024,HINDALCO,Hindalco Industries Limited,Metals,Nifty 50,31.72,24.64,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194953_1348010_16012025064033_WEB.xml,2026-05-22T16:59:37+00:00
2024Q4,31-DEC-2024,HINDPETRO,Hindustan Petroleum Corporation Limited,Oil & Gas,Midcap,14.44,21.82,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194507_1344019_13012025055307_WEB.xml,2026-06-04T17:24:53+00:00
2024Q4,31-DEC-2024,HINDUNILVR,Hindustan Unilever Limited,FMCG,Nifty 50,11.43,14.73,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195226_1367858_31012025072633_WEB.xml,2026-05-22T16:59:45+00:00
2024Q4,31-DEC-2024,HINDZINC,Hindustan Zinc Limited,Metals,Nifty Next 50,1.39,4.12,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195314_1351028_18012025053429_WEB.xml,2026-05-22T16:52:07+00:00
2024Q4,31-DEC-2024,HONAUT,Honeywell Automation India Limited,Capital Goods,Midcap,2.51,12.51,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195356_1351340_19012025011336_WEB.xml,2026-06-04T17:24:58+00:00
2024Q4,31-DEC-2024,HYUNDAI,Hyundai Motor India Limited,Auto,Nifty Next 50,6.7,7.13,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195778_1354129_21012025101659_WEB.xml,2026-05-22T16:52:15+00:00
2024Q4,31-DEC-2024,ICICIBANK,ICICI Bank Limited,Banking,Nifty 50,45.69,44.95,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195045_1348807_17012025012711_WEB.xml,2026-05-22T16:59:53+00:00
2024Q4,31-DEC-2024,ICICIGI,ICICI Lombard General Insurance Company Limited,Insurance,Nifty Next 50,24.36,17.29,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195555_1352613_20012025041341_WEB.xml,2026-05-22T16:52:24+00:00
2024Q4,31-DEC-2024,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,Insurance,Nifty Next 50,12.78,9.45,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195841_1354551_21012025124456_WEB.xml,2026-05-22T16:52:32+00:00
2024Q4,31-DEC-2024,IDEA,Vodafone Idea Limited,Telecom,Midcap,10.17,4.31,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195647_1353273_20012025055353_WEB.xml,2026-06-04T17:25:03+00:00
2024Q4,31-DEC-2024,IDFCFIRSTB,IDFC First Bank Limited,Banking,Midcap,27.12,16.14,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195203_1350086_17012025064741_WEB.xml,2026-06-04T17:25:09+00:00
2024Q4,31-DEC-2024,IGL,Indraprastha Gas Limited,Oil & Gas,Midcap,14.33,26.12,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195154_1349636_17012025051851_WEB.xml,2026-06-04T17:25:14+00:00
2024Q4,31-DEC-2024,INDHOTEL,The Indian Hotels Company Limited,Hospitality,Nifty Next 50,27.78,18.56,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194668_1345556_15012025111207_WEB.xml,2026-05-22T16:52:41+00:00
2024Q4,31-DEC-2024,INDIANB,Indian Bank,Banking,Midcap,4.78,17.64,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194446_1343587_13012025033506_WEB.xml,2026-06-04T17:25:19+00:00
2024Q4,31-DEC-2024,INDIGO,InterGlobe Aviation Limited,Aviation,Nifty Next 50,24.82,21.21,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195750_1353932_20012025082343_WEB.xml,2026-05-22T16:52:49+00:00
2024Q4,31-DEC-2024,INDUSINDBK,IndusInd Bank Limited,Banking,Nifty 50,24.74,42.81,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194332_1342589_10012025082033_WEB.xml,2026-05-22T17:00:01+00:00
2024Q4,31-DEC-2024,INDUSTOWER,Indus Towers Limited,Telecom,Nifty Next 50,26.15,17.8,https://nsearchives.nseindia.com/corporate/xbrl/SHP_196065_1356584_21012025110006_WEB.xml,2026-05-22T16:52:57+00:00
2024Q4,31-DEC-2024,INFY,Infosys Limited,IT,Nifty 50,33.3,38.37,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195760_1353991_20012025091350_WEB.xml,2026-05-22T17:00:10+00:00
2024Q4,31-DEC-2024,IOB,Indian Overseas Bank,Banking,Midcap,0.02,1.3,https://nsearchives.nseindia.com/corporate/xbrl/SHP_193864_1337799_06012025125401_WEB.xml,2026-06-04T17:25:24+00:00
2024Q4,31-DEC-2024,IOC,Indian Oil Corporation Limited,Oil & Gas,Nifty Next 50,7.43,10.2,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194675_1345609_15012025114715_WEB.xml,2026-05-22T16:53:05+00:00
2024Q4,31-DEC-2024,IPCALAB,IPCA Laboratories Limited,Pharma,Midcap,11.07,35.68,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194160_1340985_09012025052924_WEB.xml,2026-06-04T17:25:29+00:00
2024Q4,31-DEC-2024,IRCTC,Indian Railway Catering And Tourism Corporation Limited,Consumer Services,Nifty Next 50,7.45,13.72,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194275_1341944_10012025035746_WEB.xml,2026-05-22T16:53:13+00:00
2024Q4,31-DEC-2024,IRFC,Indian Railway Finance Corporation Limited,Financial Services,Nifty Next 50,1.01,1.24,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195038_1348756_17012025010131_WEB.xml,2026-05-22T16:53:21+00:00
2024Q4,31-DEC-2024,ITC,ITC Limited,FMCG,Nifty 50,40.17,44.92,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194830_1347069_16012025012158_WEB.xml,2026-05-22T17:00:18+00:00
2024Q4,31-DEC-2024,JINDALSTEL,Jindal Steel & Power Limited,Metals,Nifty Next 50,10.99,17.26,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195446_1351891_20012025125111_WEB.xml,2026-05-22T16:53:29+00:00
2024Q4,31-DEC-2024,JIOFIN,Jio Financial Services Limited,Financial Services,Nifty Next 50,15.61,12.56,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194625_1345177_14012025052511_WEB.xml,2026-05-22T16:53:37+00:00
2024Q4,31-DEC-2024,JSL,Jindal Stainless Limited,Metals,Midcap,22.16,6.27,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194693_1345789_15012025012021_WEB.xml,2026-06-04T17:25:35+00:00
2024Q4,31-DEC-2024,JSWSTEEL,JSW Steel Limited,Metals,Nifty 50,25.59,10.59,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195674_1353426_20012025061445_WEB.xml,2026-05-22T17:00:26+00:00
2024Q4,31-DEC-2024,JUBLFOOD,Jubilant Foodworks Limited,Consumer Services,Midcap,21.26,30.38,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195206_1350128_17012025065739_WEB.xml,2026-06-04T17:25:40+00:00
2024Q4,31-DEC-2024,KOTAKBANK,Kotak Mahindra Bank Limited,Banking,Nifty 50,32.48,28.79,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194191_1341230_09012025071541_WEB.xml,2026-05-22T17:00:34+00:00
2024Q4,31-DEC-2024,KPITTECH,KPIT Technologies Limited,IT,Midcap,17.36,20.41,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194614_1345063_14012025043532_WEB.xml,2026-06-04T17:25:45+00:00
2024Q4,31-DEC-2024,LICHSGFIN,LIC Housing Finance Limited,Financial Services,Midcap,21.23,21.45,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194616_1345074_14012025044118_WEB.xml,2026-06-04T17:25:50+00:00
2024Q4,31-DEC-2024,LICI,Life Insurance Corporation Of India,Insurance,Nifty Next 50,0.07,1.27,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194977_1348382_17012025103536_WEB.xml,2026-05-22T16:53:45+00:00
2024Q4,31-DEC-2024,LODHA,Macrotech Developers Limited,Realty,Nifty Next 50,24.45,2.64,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194773_1346510_15012025061942_WEB.xml,2026-05-22T16:53:53+00:00
2024Q4,31-DEC-2024,LT,Larsen & Toubro Limited,Infrastructure,Nifty 50,20.83,41.71,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194590_1344852_14012025025057_WEB.xml,2026-05-22T17:00:42+00:00
2024Q4,31-DEC-2024,LTF,L&T Finance Limited,Financial Services,Midcap,5.3,12.17,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194166_1341048_09012025055215_WEB.xml,2026-06-04T17:26:00+00:00
2024Q4,31-DEC-2024,LTTS,L&T Technology Services Limited,IT,Midcap,4.19,14.3,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195478_1352098_20012025022101_WEB.xml,2026-06-04T17:26:06+00:00
2024Q4,31-DEC-2024,LUPIN,Lupin Limited,Pharma,Midcap,22.04,24.74,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194759_1346349_15012025052339_WEB.xml,2026-06-04T17:25:55+00:00
2024Q4,31-DEC-2024,M&M,Mahindra & Mahindra Limited,Auto,Nifty 50,38.91,29.22,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195980_1355670_21012025054606_WEB.xml,2026-05-22T17:00:51+00:00
2024Q4,31-DEC-2024,M&MFIN,Mahindra & Mahindra Financial Services Limited,Financial Services,Midcap,10.48,31.16,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195645_1353252_20012025055042_WEB.xml,2026-06-04T17:26:11+00:00
2024Q4,31-DEC-2024,MARICO,Marico Limited,FMCG,Nifty Next 50,23.36,12.86,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195213_1350156_17012025070201_WEB.xml,2026-05-22T16:54:01+00:00
2024Q4,31-DEC-2024,MARUTI,Maruti Suzuki India Limited,Auto,Nifty 50,15.47,22.96,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195637_1368731_03022025114617_WEB.xml,2026-05-22T17:00:59+00:00
2024Q4,31-DEC-2024,MFSL,Max Financial Services Limited,Insurance,Midcap,47.5,42.69,https://nsearchives.nseindia.com/corporate/xbrl/SHP_193956_1339052_08012025102829_WEB.xml,2026-06-04T17:26:17+00:00
2024Q4,31-DEC-2024,MGL,Mahanagar Gas Limited,Oil & Gas,Midcap,25.75,21.1,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195897_1354914_21012025030303_WEB.xml,2026-06-04T17:26:22+00:00
