quarter,as_on_date,symbol,company,sector,universe,fii_pct,dii_pct,source,updated_at
2026Q1,31-MAR-2026,LICHSGFIN,LIC Housing Finance Limited,Financial Services,Midcap,21.39,20.89,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1651986_16042026125558_WEB.xml,2026-06-04T17:25:46+00:00
2026Q1,31-MAR-2026,LICI,Life Insurance Corporation Of India,Insurance,Nifty Next 50,0.31,1.28,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1655693_21042026101703_WEB.xml,2026-05-22T16:53:38+00:00
2026Q1,31-MAR-2026,LODHA,Lodha Developers Limited,Realty,Nifty Next 50,21.25,4.62,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1650672_14042026042734_WEB.xml,2026-05-22T16:53:47+00:00
2026Q1,31-MAR-2026,LT,Larsen & Toubro Limited,Infrastructure,Nifty 50,18.78,43.33,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1652548_16042026061922_WEB.xml,2026-05-22T17:00:36+00:00
2026Q1,31-MAR-2026,LTF,L&T Finance Limited,Financial Services,Midcap,7.63,14.9,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1652636_16042026070255_WEB.xml,2026-06-04T17:25:56+00:00
2026Q1,31-MAR-2026,LTTS,L&T Technology Services Limited,IT,Midcap,3.86,14.64,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1654654_20042026123651_WEB.xml,2026-06-04T17:26:02+00:00
2026Q1,31-MAR-2026,LUPIN,Lupin Limited,Pharma,Midcap,21.71,25.32,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1655255_20042026054102_WEB.xml,2026-06-04T17:25:51+00:00
2026Q1,31-MAR-2026,M&M,Mahindra & Mahindra Limited,Auto,Nifty 50,36.22,31.5,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1656738_21042026074002_WEB.xml,2026-05-22T17:00:44+00:00
2026Q1,31-MAR-2026,M&MFIN,Mahindra & Mahindra Financial Services Limited,Financial Services,Midcap,9.4,32.09,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1654970_20042026035750_WEB.xml,2026-06-04T17:26:07+00:00
2026Q1,31-MAR-2026,MARICO,Marico Limited,FMCG,Nifty Next 50,24.08,12.3,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1652420_16042026052900_WEB.xml,2026-05-22T16:53:54+00:00
2026Q1,31-MAR-2026,MARUTI,Maruti Suzuki India Limited,Auto,Nifty 50,14.12,24.18,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1653341_17042026051746_WEB.xml,2026-05-22T17:00:52+00:00
2026Q1,31-MAR-2026,MFSL,Max Financial Services Limited,Insurance,Midcap,47.88,44.75,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1650925_14042026073545_WEB.xml,2026-06-04T17:26:12+00:00
2026Q1,31-MAR-2026,MGL,Mahanagar Gas Limited,Oil & Gas,Midcap,24.14,21.01,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1654518_20042026111018_WEB.xml,2026-06-04T17:26:18+00:00
2026Q1,31-MAR-2026,MOTHERSON,Samvardhana Motherson International Limited,Auto,Nifty Next 50,12.45,21.13,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1646996_07042026082014_WEB.xml,2026-05-22T16:54:02+00:00
2026Q1,31-MAR-2026,MOTILALOFS,Motilal Oswal Financial Services Limited,Financial Services,Midcap,7.04,6.02,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1655123_20042026050248_WEB.xml,2026-06-04T17:26:24+00:00
2026Q1,31-MAR-2026,MPHASIS,MphasiS Limited,IT,Midcap,19.5,45.65,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1654432_19042026104311_WEB.xml,2026-06-04T17:26:29+00:00
2026Q1,31-MAR-2026,MRF,MRF Limited,Auto,Midcap,17.98,12.25,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1649781_13042026034537_WEB.xml,2026-06-04T17:26:35+00:00
2026Q1,31-MAR-2026,MUTHOOTFIN,Muthoot Finance Limited,Financial Services,Midcap,12.3,10.42,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1655952_21042026011910_WEB.xml,2026-06-04T17:26:40+00:00
2026Q1,31-MAR-2026,NAM-INDIA,Nippon Life India Asset Management Limited,Financial Services,Midcap,7.34,14.78,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1651676_15042026064704_WEB.xml,2026-06-04T17:26:46+00:00
2026Q1,31-MAR-2026,NAUKRI,Info Edge (India) Limited,Consumer Services,Nifty Next 50,27.97,24.08,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1654599_20042026115924_WEB.xml,2026-05-22T16:54:10+00:00
2026Q1,31-MAR-2026,NESTLEIND,Nestle India Limited,FMCG,Nifty 50,9.74,12.39,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1655682_21042026092925_WEB.xml,2026-05-22T17:01:00+00:00
2026Q1,31-MAR-2026,NHPC,NHPC Limited,Power,Nifty Next 50,10.34,10.78,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1654711_20042026010211_WEB.xml,2026-05-22T16:54:18+00:00
2026Q1,31-MAR-2026,NMDC,NMDC Limited,Mining,Nifty Next 50,13.6,13.76,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1655900_21042026124517_WEB.xml,2026-05-22T16:54:27+00:00
2026Q1,31-MAR-2026,NTPC,NTPC Limited,Power,Nifty 50,16.55,29.13,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1651378_15042026041205_WEB.xml,2026-05-22T17:01:09+00:00
2026Q1,31-MAR-2026,NYKAA,FSN E-Commerce Ventures Limited,Consumer Services,Midcap,12.4,25.35,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1653695_17042026073712_WEB.xml,2026-06-04T17:26:52+00:00
2026Q1,31-MAR-2026,OBEROIRLTY,Oberoi Realty Limited,Realty,Midcap,15.42,14.58,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1651304_15042026033402_WEB.xml,2026-06-04T17:26:57+00:00
2026Q1,31-MAR-2026,OFSS,Oracle Financial Services Software Limited,IT,Midcap,8.04,9.12,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1650589_14042026033848_WEB.xml,2026-06-04T17:27:02+00:00
2026Q1,31-MAR-2026,ONGC,Oil & Natural Gas Corporation Limited,Oil & Gas,Nifty 50,7.97,19.31,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1655194_20042026052100_WEB.xml,2026-05-22T17:01:17+00:00
